id,EA_HAB,EA_LIT,EA_MAL,EA_JOUE,EA_AID,EA_EMM,EA_SATTACHE,OA_VAISS,OA_REPAS,OA_ALIME,OA_LINGE,OA_ASPIR,OA_BRICO,OA_COMPT,OA_INVIT,OA_SATREP,OB_DACHQUO,OB_DACHEX,OB_DEDUC,OB_DLOISIR,OB_GESTION,OC_SATREL,OC_DESTAC,VA_MARIDEP,VA_COHAB,VA_MARITJS,VA_DIVORC,VA_FEMENF,VA_HOMENF,VA_DEUXPAR,VA_MERSEUL,VA_EFTAUTO,VA_DROITHOMO,VA_GPOCCPE,VA_PARAIDENF,VA_PARENCH,VA_ENRESPAR,VA_ENFCH,VA_FILLEFILS,VA_ENFAIDPAR,VA_ACCPAR,VA_DIFFAGE,VA_REVFE,VA_DEPFE,VA_FOYEPAN,VA_HOMPOL,VA_ENFMERAC,VA_ENFPERAC,VA_DIVGARD,VA_HOMPRIO,VA_PARPRIO,VA_JEUPRIO,VA_QPERSAGE,VA_QENFPS,VA_QENFSCO,VA_QFINPERSA,VA_QFINPAREN,MA_AGEMQ,MC_DIPLOME,PF_PCSM8,PF_PCSP8,CA_DIPLOME,EA_VERIFC,poids12,PA_DURMTRA,PB_DURMTRA,MA_SEXE,AH_CS8,PF_AGEDEPFOY_rec,PF_AVECQUI_rec,PE_NBFSV_rec,PA_VERIFCOH_rec,PA_FQAVM_rec,PB_FQAVP_rec,PA_MEREBV_rec,PB_PEREBV_rec,TYPFAM3_rec,EA_ADULT16_rec,NBENF14_rec,NBENF3_rec,MA_ACT_rec,NBENFTOTM_rec,EA_AUTPERS_rec,OA_AUTPERS_rec,MA_AGEM_rec
1414,3,3,3,3,3,3,10,3,2,3,7,7,4,3,3,8,2,3,3,3,3,NA,3,5,3,2,1,2,2,1,1,3,2,4,2,4,2,4,5,2,2,3,5,1,5,5,5,4,9,5,3,5,3,3,3,1,1,9,8,4,2,8,1,6632.62463,195,195,2,5,22,1,1,4,1,1,1,1,4,2,1,2,2,1,2,2,41
1415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,1,3,1,1,3,5,2,1,3,1,9,5,2,1,1,5,3,4,4,4,4,3,5,2,3,4,9,9,3,3,16,1,NA,6,NA,2,2439.978943,NA,NA,2,7,15,1,5,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,75
1416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,1,4,4,1,2,4,2,2,2,4,2,4,2,1,2,1,3,1,1,4,4,1,2,5,5,5,3,5,3,1,1,8,5,NA,6,NA,2,2826.838104,15,15,2,5,28,1,3,4,2,2,1,1,1,2,2,2,1,0,NA,NA,35
1417,4,3,5,3,3,4,7,3,4,5,5,5,1,5,5,8,5,3,5,6,3,5,1,5,2,5,3,2,2,1,3,5,2,1,1,2,3,5,5,3,2,4,5,4,1,5,4,4,3,5,2,5,5,4,5,1,1,9,7,2,5,3,1,5345.075987,840,NA,1,4,20,1,2,4,1,NA,1,2,4,2,1,2,2,3,3,3,43
1418,1,2,2,3,3,3,7,3,1,2,1,2,7,2,2,5,2,3,3,3,3,6,3,5,2,2,1,1,1,1,3,2,2,2,2,3,2,3,3,2,4,3,3,2,2,4,2,2,3,4,4,4,3,2,4,3,3,8,5,2,2,1,1,3460.086093,45,45,2,5,23,1,0,4,2,1,1,1,4,2,1,1,2,3,3,3,37
1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,2,3,3,2,3,1,1,3,5,5,3,5,5,3,5,5,5,2,3,5,5,2,3,5,5,2,3,4,3,3,1,6,7,5,6,NA,2,2897.693816,90,90,2,5,20,1,2,4,1,2,1,1,1,2,2,2,2,0,NA,NA,25
1420,NA,NA,NA,NA,NA,NA,NA,3,5,3,7,5,1,1,3,10,3,3,3,3,3,10,1,5,1,5,1,1,1,1,1,1,5,1,1,4,1,5,5,2,4,1,5,1,5,5,1,1,1,5,5,5,4,5,5,4,4,13,6,NA,2,8,1,13288.87923,30,NA,1,2,18,1,1,4,1,NA,1,2,4,1,2,2,1,1,NA,3,64
1421,3,3,3,3,3,3,5,4,4,4,4,4,2,3,3,7,4,3,3,3,1,8,2,5,3,4,3,2,2,1,3,3,3,4,2,3,3,3,5,2,2,2,4,1,2,3,3,3,3,4,4,4,3,3,3,3,3,12,8,NA,NA,8,1,4325.524889,NA,NA,1,3,9,1,5,4,NA,NA,2,2,4,1,1,2,2,3,3,3,55
1422,NA,NA,NA,NA,NA,NA,NA,97,5,3,5,4,1,1,3,10,3,3,97,3,6,10,1,1,1,5,1,3,3,1,1,1,5,5,2,1,3,5,3,2,5,3,5,1,2,5,9,3,4,5,5,5,4,5,5,3,3,13,3,NA,4,2,1,6244.561276,NA,20,1,4,18,1,5,4,NA,0,2,1,4,1,2,2,2,1,NA,3,60
1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,1,1,1,1,1,1,2,1,2,1,4,5,1,1,1,5,2,2,2,4,2,3,5,4,5,4,3,3,1,1,4,6,4,2,NA,2,10472.49209,NA,NA,1,8,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,19
1424,3,3,2,3,97,3,9,1,3,2,1,3,5,1,3,8,1,3,3,3,5,9,2,5,3,1,1,3,3,1,4,4,5,3,2,4,2,4,3,2,3,3,4,1,4,4,4,3,2,5,2,2,5,2,3,2,4,7,8,3,4,8,1,3487.658225,5,5,2,3,24,1,1,4,2,2,1,1,4,2,1,1,2,2,3,3,31
1425,8,8,3,97,1,8,10,1,3,3,1,3,4,1,3,9,3,3,3,3,3,NA,1,4,5,1,2,2,2,1,5,5,5,1,1,4,1,2,3,1,1,1,4,4,1,1,2,2,2,2,2,2,3,3,3,1,1,8,1,6,6,1,1,5274.487417,5,5,2,6,18,1,2,4,2,2,1,1,4,1,1,2,2,2,3,2,38
1426,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,3,1,5,3,10,3,3,NA,3,4,10,1,1,1,5,5,1,5,1,5,5,5,1,5,2,5,5,5,5,1,1,5,5,4,1,1,5,5,5,1,1,2,5,4,5,5,12,1,NA,NA,1,1,6831.271153,960,NA,1,7,2,5,2,4,1,NA,1,2,3,2,2,2,2,0,NA,3,58
1427,NA,NA,NA,NA,NA,NA,NA,5,4,3,3,3,3,3,3,10,3,3,NA,3,5,10,1,4,4,2,2,3,3,2,4,4,3,4,4,4,2,4,4,3,3,3,5,4,4,5,3,2,4,5,3,3,3,3,4,3,4,7,8,5,3,8,1,3940.437368,30,30,2,4,24,1,1,4,1,1,1,1,3,2,2,2,2,0,NA,3,30
1428,1,2,1,2,97,97,10,2,1,2,1,2,2,3,3,5,1,3,3,3,4,8,3,3,1,3,1,4,4,3,4,3,2,2,4,5,2,5,5,2,2,5,2,5,1,5,2,2,4,5,4,5,4,4,4,1,1,7,5,5,6,7,1,3970.071738,2,2,2,4,25,1,3,4,2,2,1,1,4,2,1,1,1,1,3,3,33
1429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,5,5,1,1,2,3,1,1,1,1,5,5,1,1,3,5,1,5,5,1,5,3,5,1,1,5,5,5,1,1,8,4,5,6,NA,2,6841.172297,NA,NA,1,8,NA,1,5,3,NA,NA,NA,2,5,1,2,2,2,0,NA,NA,36
1430,3,5,3,3,97,3,10,97,2,5,3,3,3,3,3,8,3,2,3,3,3,9,2,5,1,4,1,5,5,1,2,4,2,5,3,5,2,5,5,3,3,3,5,1,4,5,5,1,5,5,5,5,3,5,5,1,1,8,4,NA,4,6,1,6706.673995,5,5,1,6,18,1,1,4,2,2,1,1,4,2,1,2,2,1,3,3,35
1431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,3,3,3,2,2,1,2,2,4,3,4,5,2,3,5,5,1,3,4,4,4,3,2,2,2,3,3,3,3,3,7,6,5,4,NA,2,3472.107556,60,60,1,4,21,1,NA,4,2,2,1,1,1,2,2,2,2,0,NA,NA,33
1432,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,5,1,3,7,1,3,NA,3,3,NA,1,3,1,3,1,4,4,1,1,4,5,3,1,1,5,5,2,2,5,3,5,5,5,1,2,2,1,5,1,2,1,5,3,3,1,14,4,5,6,4,1,4823.837624,NA,NA,2,7,7,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,66
1433,2,1,1,3,1,3,5,6,1,3,6,6,4,1,2,9,2,3,4,3,3,NA,4,3,1,1,1,4,4,1,2,2,5,5,1,5,3,5,5,3,2,4,2,1,1,5,2,1,3,5,4,5,5,5,5,5,5,10,1,NA,6,1,1,9787.291937,NA,NA,2,8,30,1,5,4,NA,NA,2,2,4,1,1,2,2,4,2,2,46
1434,3,1,1,4,3,1,9,1,2,3,1,3,5,3,2,9,2,3,3,3,3,NA,1,3,1,1,1,1,1,1,1,1,5,1,1,4,1,4,1,5,3,5,3,5,1,5,2,2,3,5,2,5,4,4,4,4,4,5,1,NA,6,1,1,3534.225408,5,5,2,8,18,1,3,4,2,2,1,1,4,2,1,1,2,4,1,1,21
1435,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,3,1,3,97,10,3,3,97,3,3,10,1,1,1,1,1,1,1,1,4,1,5,1,1,3,3,5,1,2,3,1,1,5,1,1,1,1,1,5,1,1,5,5,5,3,5,16,4,5,6,1,1,2603.975805,NA,NA,1,7,21,1,2,4,NA,NA,2,2,4,1,2,2,2,1,NA,3,75
1436,NA,NA,NA,NA,NA,NA,NA,3,5,4,3,3,3,5,3,10,3,3,NA,3,4,10,1,5,1,2,2,5,5,1,2,1,1,1,1,5,2,5,5,4,5,5,5,1,1,5,5,4,5,5,2,5,3,5,4,3,1,7,4,6,5,7,1,5551.287199,90,90,1,4,18,1,2,4,1,1,1,1,3,2,2,2,2,0,NA,3,34
1437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,4,4,1,1,5,1,5,2,5,1,5,5,2,3,5,5,1,1,5,5,4,4,4,4,4,5,3,3,3,3,6,7,5,5,NA,2,3489.382478,NA,NA,2,5,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,25
1438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,1,3,3,2,2,3,2,2,2,3,1,4,5,1,1,5,5,5,2,3,3,3,3,5,5,5,4,3,3,1,1,5,6,NA,3,NA,2,5390.619767,NA,NA,2,5,NA,1,2,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,24
1439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,1,1,1,3,1,3,2,2,4,2,4,4,2,2,4,4,1,2,4,4,2,3,4,4,3,3,1,1,3,3,12,3,NA,NA,NA,2,1889.132581,NA,NA,2,4,18,1,5,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,58
1440,3,2,2,3,3,2,8,3,2,1,1,3,5,4,3,8,1,3,3,3,3,NA,2,4,2,2,2,2,2,2,2,4,3,3,2,3,2,4,4,3,3,4,4,2,2,2,4,2,3,4,3,2,3,3,3,1,1,9,5,NA,6,4,1,3453.753961,20,20,2,5,30,1,2,4,2,2,1,1,4,2,1,2,2,2,2,2,43
1441,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,1,5,1,3,10,1,3,NA,3,3,10,1,1,1,1,1,1,1,1,2,2,5,1,1,4,1,5,3,1,5,5,5,5,1,5,4,4,5,5,1,1,3,3,5,3,2,12,4,6,6,4,1,4888.515071,210,NA,2,7,24,1,1,4,1,NA,1,2,3,2,2,2,2,0,NA,3,56
1442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,5,5,5,1,1,1,1,2,5,1,5,5,1,1,5,5,1,1,5,5,1,5,5,1,5,3,3,3,3,3,9,4,NA,NA,NA,2,2111.236771,5,NA,2,5,24,2,2,4,2,NA,1,2,2,2,1,2,2,1,3,NA,40
1443,NA,NA,NA,NA,NA,NA,NA,3,5,4,5,2,1,1,3,9,4,2,NA,3,3,9,2,4,2,2,2,1,1,1,4,1,5,1,1,1,1,3,2,2,2,2,1,1,2,4,1,2,2,3,1,5,2,5,4,3,1,14,4,1,NA,4,1,4162.361822,NA,NA,1,7,18,2,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,68
1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,2,2,3,3,1,1,1,5,1,1,5,1,1,1,5,1,3,5,5,1,1,5,1,5,3,5,5,3,1,6,5,5,4,NA,2,7028.210326,NA,NA,2,4,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,28
1445,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,2,5,3,3,9,2,3,NA,3,3,NA,1,4,3,1,2,2,1,1,5,1,5,1,3,3,5,5,5,5,2,5,5,5,4,4,5,5,2,5,2,3,3,4,4,1,2,16,2,NA,4,2,1,4082.806504,NA,NA,2,8,20,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,79
1446,8,4,97,3,3,8,10,2,2,3,1,2,4,3,3,8,3,3,3,3,5,9,1,5,1,2,1,1,1,2,3,2,5,5,4,5,5,5,5,5,5,2,5,1,5,1,5,3,2,5,1,1,5,5,5,2,1,9,4,NA,6,2,1,3485.252617,75,75,2,5,13,1,5,4,1,1,1,1,4,2,1,2,2,3,3,3,40
1447,2,1,1,3,97,97,10,5,2,2,2,5,3,3,3,10,1,3,3,3,3,8,1,5,3,1,2,1,1,1,3,2,2,3,2,1,3,5,5,1,5,1,5,3,5,5,5,5,1,5,5,2,3,3,4,2,3,6,8,2,4,1,1,4208.992301,4,4,2,4,20,1,1,4,2,2,1,1,4,2,1,1,2,1,2,3,25
1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,3,3,1,2,3,3,2,2,2,1,4,1,4,3,3,5,3,2,3,2,2,2,5,2,2,5,5,5,5,5,11,8,NA,4,NA,2,5472.896749,NA,NA,1,4,17,1,3,4,NA,NA,2,2,2,1,2,2,2,1,NA,NA,52
1449,NA,NA,NA,NA,NA,NA,NA,1,1,1,97,7,1,1,3,8,3,3,NA,3,3,NA,1,5,3,2,2,1,2,1,1,2,4,2,2,3,3,5,1,3,2,4,5,5,3,5,2,4,1,1,3,1,1,4,5,1,1,15,2,5,6,1,1,1851.830929,NA,NA,1,7,18,4,0,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,71
1450,NA,NA,NA,NA,NA,NA,NA,5,4,3,5,5,1,3,3,10,3,3,NA,3,3,NA,2,2,3,2,1,1,5,1,5,3,5,1,3,4,2,5,5,3,5,3,2,1,1,4,3,1,2,1,2,3,3,5,3,3,3,15,4,NA,6,3,1,7497.835115,NA,NA,1,7,26,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,73
1451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,2,2,1,4,3,2,2,2,3,2,3,4,2,2,2,3,2,2,3,2,3,3,4,3,3,3,4,4,2,2,5,5,5,6,NA,2,7091.200547,NA,NA,2,8,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,23
1452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,1,5,5,2,2,1,1,4,2,4,4,5,5,4,2,5,5,1,3,4,1,2,1,5,2,5,3,1,1,1,1,7,5,4,4,NA,2,6493.604049,270,300,1,6,20,1,1,4,1,1,1,1,1,2,2,2,2,0,NA,NA,34
1453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,4,1,1,1,2,3,2,2,4,1,1,1,4,2,5,4,1,1,3,5,4,5,5,5,2,5,5,5,5,5,5,5,3,3,6,5,NA,6,NA,2,2421.67435,NA,10,2,5,18,1,5,4,NA,0,2,1,1,2,2,2,2,0,NA,NA,28
1454,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,4,5,1,3,7,3,3,3,3,3,9,3,1,2,2,1,1,1,1,2,1,1,1,1,3,2,4,5,5,3,1,3,2,2,5,4,4,1,5,2,3,4,4,4,1,3,10,2,NA,1,1,1,8884.825456,NA,NA,2,5,19,1,5,4,NA,NA,2,2,4,1,2,2,2,3,NA,3,48
1455,4,3,3,3,4,2,10,3,4,4,5,3,1,1,5,6,3,3,3,4,3,8,3,3,1,3,4,4,4,1,2,2,2,4,1,2,2,5,5,2,4,5,5,1,4,5,4,2,4,5,5,2,4,4,5,4,4,10,8,4,3,8,1,3565.482181,30,NA,1,2,20,1,1,4,2,NA,1,2,4,2,1,2,2,3,3,3,45
1456,8,3,5,3,3,5,10,3,5,3,5,3,2,1,3,10,3,3,3,3,6,NA,3,5,2,1,5,1,1,1,4,4,5,1,1,1,1,4,5,1,1,5,5,3,1,5,1,3,2,3,2,3,5,5,3,1,1,10,5,NA,6,2,1,3478.338466,45,45,1,6,21,1,5,4,2,2,1,1,4,2,1,2,2,3,3,3,49
1457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,5,5,4,1,4,1,1,1,5,4,5,3,2,2,3,2,1,1,5,5,1,3,5,2,5,5,5,5,1,1,6,4,NA,6,NA,2,6396.635988,NA,NA,2,6,NA,3,1,3,NA,NA,NA,2,5,1,2,2,2,0,NA,NA,29
1458,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,3,1,5,3,10,3,3,NA,3,3,9,1,5,3,3,5,1,1,1,5,1,5,1,2,2,2,5,5,2,3,3,4,1,1,5,1,1,1,3,2,3,3,4,3,3,4,14,6,5,NA,3,1,4053.249398,NA,NA,1,7,10,2,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,68
1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,5,1,1,4,5,1,1,1,1,5,3,3,5,1,5,5,5,5,1,1,1,5,1,1,3,4,4,1,4,6,1,6,NA,NA,2,2466.315595,15,15,2,5,20,2,3,4,2,0,1,1,2,2,1,1,1,2,2,NA,25
1460,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,3,1,2,3,10,3,3,NA,3,3,NA,1,5,2,2,2,2,2,1,2,3,5,1,1,2,1,4,3,2,1,4,2,2,1,2,3,2,3,3,2,4,4,4,4,4,3,15,2,5,4,2,1,4250.404064,NA,NA,1,7,27,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,73
1461,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,1,5,5,4,5,3,1,NA,5,3,8,2,3,2,3,2,2,2,2,5,1,2,1,1,2,5,5,5,4,5,2,3,1,1,4,1,1,3,1,2,3,1,5,5,1,5,14,4,NA,NA,5,1,17125.29826,NA,NA,2,7,15,2,4,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,67
1462,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,1,3,4,9,5,3,NA,4,3,9,2,4,2,2,4,2,2,2,4,2,4,2,2,3,2,3,4,2,3,4,2,2,2,4,2,2,2,4,3,3,3,3,3,2,2,12,8,1,1,8,1,4297.280445,NA,NA,1,3,20,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,58
1463,4,3,4,3,3,4,8,4,4,3,4,3,2,3,3,8,4,3,3,3,3,7,3,4,3,2,3,3,3,1,4,2,4,2,1,2,3,4,5,1,2,3,5,3,2,3,3,2,3,5,4,5,4,5,5,3,3,8,4,NA,6,7,1,3969.284576,50,600,1,5,19,1,5,4,1,0,1,1,4,2,1,1,2,3,3,3,36
1464,3,3,3,3,97,1,10,4,2,3,1,4,5,1,1,10,1,3,3,3,3,8,3,5,1,2,1,2,2,3,4,5,1,2,1,5,3,5,5,1,3,5,5,1,1,5,5,5,3,5,5,5,3,5,5,1,3,7,5,5,6,1,1,4264.423992,20,30,2,5,23,4,2,4,2,0,1,1,4,2,1,2,2,1,3,3,30
1465,4,3,7,3,97,4,7,5,3,5,5,5,1,5,3,8,5,3,3,3,3,8,3,5,1,2,1,1,1,1,4,2,3,1,1,2,2,3,5,3,4,2,4,1,2,2,4,2,3,5,4,4,3,5,4,2,1,8,4,NA,2,8,1,6755.454187,15,15,1,5,22,1,1,4,2,2,1,1,4,2,1,2,2,1,3,3,37
1466,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,3,4,3,10,3,3,NA,3,3,10,1,3,1,1,1,5,5,1,5,1,5,1,3,2,1,5,5,4,3,2,5,1,1,3,2,2,1,5,2,4,4,5,4,3,1,15,2,1,1,1,1,3797.974875,NA,NA,1,7,30,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,72
1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,2,2,4,4,4,4,2,2,3,2,4,4,2,1,4,2,2,2,5,1,1,1,5,3,4,4,5,3,2,2,8,4,NA,1,NA,2,2226.441097,5,5,2,5,28,1,5,4,2,2,1,1,2,2,1,2,2,1,3,NA,36
1468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,3,1,9,1,1,5,5,5,3,5,5,2,2,2,1,3,1,5,1,1,3,1,1,4,4,1,3,14,2,NA,6,NA,2,2636.084437,NA,NA,1,7,30,1,0,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,65
1469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,4,2,2,2,4,4,4,2,3,1,4,2,2,2,4,5,2,3,4,5,1,2,5,4,4,4,5,4,4,3,3,3,2,2,8,8,NA,3,NA,2,2242.225005,45,NA,2,3,24,1,2,4,1,NA,1,2,1,2,2,2,2,0,NA,NA,39
1470,1,4,5,3,3,3,10,5,4,4,1,5,3,5,1,6,3,3,3,2,5,7,4,5,2,4,2,1,1,2,4,1,4,5,4,2,4,5,5,5,5,3,3,2,1,5,5,4,3,5,4,3,3,5,4,2,3,10,7,5,NA,3,1,3498.576836,30,30,2,4,20,2,2,4,1,1,1,1,4,2,1,2,2,3,1,1,45
1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,5,5,2,2,1,4,3,5,5,5,5,5,3,5,5,1,1,5,3,3,5,5,5,5,3,3,3,3,3,9,4,NA,6,NA,2,2544.729966,NA,45,2,6,17,1,1,4,NA,0,2,1,1,2,2,2,2,0,NA,NA,44
1472,NA,NA,NA,NA,NA,NA,NA,97,1,3,5,5,1,1,3,9,3,3,NA,3,4,9,1,1,1,3,1,1,1,1,4,1,4,5,5,3,1,5,5,5,5,3,5,1,1,3,4,1,5,5,1,1,3,3,3,1,1,12,6,NA,4,6,1,4250.833832,285,NA,1,6,18,1,1,4,1,NA,1,2,3,2,2,2,2,0,NA,3,57
1473,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,5,4,2,10,1,3,NA,3,3,9,1,3,2,5,1,1,1,1,4,1,4,1,1,1,1,4,4,2,4,1,5,1,1,4,1,1,3,4,2,1,3,5,3,4,4,14,4,NA,6,8,1,2160.750601,NA,NA,2,7,23,1,4,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,68
1474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,1,1,1,3,3,1,3,3,3,3,3,5,3,5,5,5,5,5,5,1,1,3,1,4,3,5,5,5,3,5,5,3,1,8,5,NA,3,NA,2,2116.81559,600,600,2,5,23,1,3,4,1,1,1,1,2,2,1,2,2,2,3,NA,39
1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,1,1,3,5,1,3,4,1,2,2,2,2,5,4,3,3,9,1,1,9,5,1,1,3,1,1,5,5,5,1,1,12,1,6,5,NA,2,2920.222027,NA,NA,2,7,16,1,2,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,55
1476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,5,5,5,1,1,1,3,3,3,5,5,5,3,3,3,3,1,5,3,5,4,3,5,5,5,3,3,3,3,3,11,8,3,3,NA,2,2097.736204,60,NA,2,3,18,1,1,4,1,NA,1,2,2,2,1,2,2,1,3,NA,50
1477,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,3,4,1,3,8,2,3,NA,3,4,NA,2,5,2,2,1,1,1,1,1,1,1,3,3,5,1,5,5,3,1,3,5,3,3,5,5,2,5,5,5,5,3,1,1,1,1,7,8,4,4,7,1,4039.254614,45,NA,2,5,26,1,1,4,1,NA,1,2,3,2,2,2,2,0,NA,1,31
1478,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,4,1,3,10,5,3,NA,3,3,NA,3,2,3,1,2,1,3,1,5,3,5,1,4,3,3,5,3,4,2,2,5,4,5,3,2,1,2,2,2,2,3,1,3,3,3,12,4,NA,6,4,1,4445.806236,30,30,2,8,20,1,2,4,2,2,1,1,3,2,2,2,2,0,NA,1,58
1479,3,5,3,3,97,4,9,3,4,4,5,4,1,4,3,10,4,3,3,3,3,10,1,3,1,1,1,1,1,1,5,1,5,3,1,1,1,5,5,1,1,3,3,1,1,1,1,1,1,5,1,5,4,3,3,1,1,9,4,NA,6,5,1,6660.708138,NA,NA,1,6,25,1,3,4,NA,NA,2,2,4,2,1,2,2,1,3,3,42
1480,8,8,4,3,3,3,9,2,3,3,2,2,2,1,4,8,3,3,3,3,4,9,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,4,2,3,3,4,3,3,4,3,3,3,3,3,1,1,10,8,4,3,8,1,4268.404447,10,10,1,4,19,1,2,4,1,1,1,1,4,2,1,2,2,1,3,3,45
1481,2,3,1,3,7,4,10,3,3,3,1,5,5,2,97,10,3,3,3,97,3,NA,3,5,1,4,1,1,1,1,1,1,4,1,1,5,1,4,5,1,1,2,2,1,1,4,1,1,3,4,4,4,4,4,4,1,1,9,1,NA,NA,1,1,4248.982104,1440,NA,2,6,12,2,2,4,1,NA,1,2,4,2,1,2,2,3,3,3,41
